,Unnamed: 0,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base
0,0,3,0,0,1,0,1,0,2,0,88.6
1,1,1,0,0,1,0,1,2,2,0,94.5
2,2,2,164,1,1,0,0,3,1,0,99.8
3,3,2,164,1,1,0,0,3,0,0,99.4
4,4,2,0,1,1,0,1,3,1,0,99.8
5,5,1,158,1,1,0,0,3,1,0,105.8
6,6,1,0,1,1,0,0,4,1,0,105.8
7,7,1,158,1,1,1,0,3,1,0,105.8
8,8,0,0,1,1,1,1,2,0,0,99.5
9,9,2,192,2,1,0,1,3,2,0,101.2
10,10,0,192,2,1,0,0,3,2,0,101.2
11,11,0,188,2,1,0,1,3,2,0,101.2
12,12,0,188,2,1,0,0,3,2,0,101.2
13,13,1,0,2,1,0,0,3,2,0,103.5
14,14,0,0,2,1,0,0,3,2,0,103.5
15,15,0,0,2,1,0,1,3,2,0,103.5
16,16,0,0,2,1,0,0,3,2,0,110.0
17,17,2,121,3,1,0,1,2,1,0,88.4
18,18,1,98,3,1,0,1,2,1,0,94.5
19,19,0,81,3,1,0,0,3,1,0,94.5
20,20,1,118,4,1,0,1,2,1,0,93.7
21,21,1,118,4,1,1,1,2,1,0,93.7
22,22,1,148,4,1,0,0,2,1,0,93.7
23,23,1,148,4,1,0,0,3,1,0,93.7
24,24,1,148,4,1,1,0,3,1,0,93.7
25,25,-1,110,4,1,0,0,4,1,0,103.3
26,26,3,145,4,1,1,1,2,1,0,95.9
27,27,2,137,5,1,0,1,2,1,0,86.6
28,28,1,101,5,1,0,1,2,1,0,93.7
29,29,0,110,5,1,0,0,3,1,0,96.5
30,30,0,78,5,1,0,0,4,1,0,96.5
31,31,0,106,5,1,0,1,2,1,0,96.5
32,32,0,85,5,1,0,0,3,1,0,96.5
33,33,1,107,5,1,0,1,3,1,0,96.5
34,34,0,0,6,1,0,0,3,2,0,94.3
35,35,1,0,6,1,0,1,3,1,0,94.5
36,36,0,0,6,1,0,0,3,1,0,94.5
37,37,2,0,6,1,0,1,2,2,0,96.0
38,38,0,145,7,1,0,0,3,2,0,113.0
39,39,0,0,7,1,0,0,3,2,0,113.0
40,40,0,0,7,1,0,1,3,2,0,102.0
41,41,1,104,8,1,0,1,2,1,0,93.1
42,42,1,113,8,1,0,0,3,1,0,93.1
43,43,3,150,8,1,0,1,2,2,0,95.3
44,44,1,129,8,1,0,1,2,1,0,98.8
45,45,0,115,8,1,0,0,3,1,0,98.8
46,46,0,0,8,0,0,0,3,1,0,98.8
47,47,0,115,8,1,0,0,2,1,0,98.8
48,48,0,118,8,1,0,0,3,2,0,104.9
49,49,0,0,8,0,0,0,3,2,0,104.9
50,50,-1,93,9,0,1,0,3,2,0,110.0
51,51,-1,93,9,0,1,0,4,2,0,110.0
52,52,0,93,9,0,1,1,1,2,0,106.7
53,53,-1,93,9,0,1,0,3,2,0,115.6
54,54,-1,0,9,1,0,0,3,2,0,115.6
55,55,3,142,9,1,0,1,0,2,0,96.6
56,56,0,0,9,1,0,0,3,2,0,120.9
57,57,1,0,9,1,0,1,1,2,0,112.0
58,58,1,0,10,1,1,1,2,2,0,102.7
59,59,2,161,11,1,0,1,2,1,0,93.7
60,60,1,161,11,1,1,1,2,1,0,93.0
61,61,3,153,11,1,1,1,2,1,0,96.3
62,62,3,153,11,1,0,1,2,1,0,96.3
63,63,3,0,11,1,1,1,2,1,0,95.9
64,64,1,125,11,1,0,0,3,1,0,96.3
65,65,1,125,11,1,1,0,3,1,0,96.3
66,66,-1,137,11,1,0,0,3,1,0,96.3
67,67,1,128,12,1,0,1,3,1,0,94.5
68,68,1,128,12,0,0,1,3,1,0,94.5
69,69,1,122,12,1,0,0,3,1,0,94.5
70,70,1,103,12,1,0,0,4,1,0,94.5
71,71,1,128,12,1,0,1,2,1,0,94.5
72,72,2,168,12,1,0,1,1,1,0,95.1
73,73,0,106,12,1,0,0,2,1,0,97.2
74,74,0,106,12,1,0,0,3,1,0,97.2
75,75,0,128,12,1,0,0,3,1,0,100.4
76,76,0,108,12,1,0,0,4,1,0,100.4
77,77,0,108,12,1,0,0,3,1,0,100.4
78,78,3,194,12,1,0,1,2,2,0,91.3
79,79,3,194,12,1,1,1,2,2,0,91.3
80,80,1,231,12,1,0,1,2,2,0,99.2
81,81,0,161,13,1,0,0,3,2,0,107.9
82,82,0,161,13,0,1,0,3,2,0,107.9
83,83,0,0,13,1,0,0,4,2,0,114.2
84,84,0,0,13,0,1,0,4,2,0,114.2
85,85,0,161,13,1,1,0,3,2,0,108.0
86,86,1,119,14,1,0,1,2,1,0,93.7
87,87,1,119,14,1,1,1,2,1,0,93.7
88,88,1,154,14,1,0,0,2,1,0,93.7
89,89,1,154,14,1,0,0,3,1,0,93.7
90,90,-1,74,14,1,0,0,4,1,0,103.3
91,91,3,0,14,1,1,1,2,2,0,95.9
92,92,3,186,15,1,0,1,2,2,0,94.5
93,93,3,0,15,1,0,1,1,2,1,89.5
94,94,3,0,15,1,0,1,0,2,1,89.5
95,95,1,0,15,1,0,1,2,2,0,98.4
96,96,0,0,16,1,0,0,4,1,0,96.1
97,97,2,0,16,1,0,1,2,1,0,96.1
98,98,3,150,17,1,0,1,2,1,0,99.1
99,99,2,104,17,1,0,0,3,1,0,99.1
100,100,3,150,17,1,1,1,2,1,0,99.1
101,101,2,104,17,1,1,0,3,1,0,99.1
102,102,2,83,18,1,0,1,2,1,0,93.7
103,103,2,83,18,1,0,1,2,0,0,93.3
104,104,0,102,18,1,0,0,3,1,0,97.2
105,105,0,102,18,1,0,0,3,0,0,97.0
106,106,0,102,18,1,1,0,3,0,0,97.0
107,107,0,89,18,1,0,0,4,1,0,97.0
108,108,0,85,18,1,0,0,4,0,0,96.9
109,109,0,85,18,1,1,0,4,0,0,96.9
110,110,1,87,19,1,0,1,2,1,0,95.7
111,111,1,74,19,1,0,0,2,1,0,95.7
112,112,0,77,19,1,0,0,4,1,0,95.7
113,113,0,81,19,1,0,0,4,0,0,95.7
114,114,0,91,19,1,0,0,4,0,0,95.7
115,115,0,91,19,1,0,0,3,1,0,95.7
116,116,0,91,19,1,0,0,2,1,0,95.7
117,117,0,91,19,0,0,0,3,1,0,95.7
118,118,0,91,19,0,0,0,2,1,0,95.7
119,119,1,168,19,1,0,1,3,2,0,94.5
120,120,1,168,19,1,0,1,2,2,0,94.5
121,121,2,134,19,1,0,1,1,2,0,98.4
122,122,2,134,19,1,0,1,2,2,0,98.4
123,123,2,134,19,1,0,1,0,2,0,98.4
124,124,-1,65,19,1,0,0,3,1,0,102.4
125,125,-1,65,19,0,1,0,3,1,0,102.4
126,126,-1,65,19,1,0,0,2,1,0,102.4
127,127,3,197,19,1,0,1,2,2,0,102.9
128,128,-1,90,19,1,0,0,3,2,0,104.5
129,129,-1,0,19,1,0,0,4,2,0,104.5
130,130,2,122,20,0,0,1,3,1,0,97.3
131,131,2,122,20,1,0,1,3,1,0,97.3
132,132,2,94,20,0,0,0,3,1,0,97.3
133,133,2,94,20,1,0,0,3,1,0,97.3
134,134,2,94,20,0,1,0,3,1,0,97.3
135,135,3,0,20,1,0,1,0,1,0,94.5
136,136,3,256,20,1,0,1,2,1,0,94.5
137,137,0,0,20,1,0,0,3,1,0,100.4
138,138,0,0,20,0,1,0,3,1,0,100.4
139,139,0,0,20,1,0,0,4,1,0,100.4
140,140,-2,103,21,1,0,0,3,2,0,104.3
141,141,-1,74,21,1,0,0,4,2,0,104.3
142,142,-2,103,21,1,1,0,3,2,0,104.3
143,143,-1,74,21,1,1,0,4,2,0,104.3
144,144,-1,95,21,1,0,0,3,2,0,109.1
145,145,-1,95,21,1,1,0,3,2,0,109.1
146,146,-1,95,21,0,1,0,3,2,0,109.1
